stock,seed,method,strategy,split,mse,mae,direction_accuracy,forecast_horizon,checkpoint_path,checkpoint_selection,encoder_weight_source,fine_tune_encoder,trend_weight,trend_loss_temperature,trend_loss_threshold,trend_selection_weight,normalization,feature_transform,forecast_target,target_definition,metric_definition,test_start,test_end,test_signature,experiment_id,config_signature,timestamp,git_commit_sha,original_source_file,score_source_file,raw_model,selected_bundle,included_in_canonical,exclusion_reason,metadata_sources
AAPL,50,Naive-last,local_long,test,0.015385018678011949,0.07890129026613736,0.0,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_local_mae_long_jepa_ljepa_1.0_lmae_0.5_mae_1_gap_4_jepa_4_cfg_d238fd9cb164_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,value,future target values in the configured normalized feature space,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,ab4890fe68133fcfef2c,1fb9865257af5658,1fb9865257af5658,20260826_105414,da8018e2fbce129c594079089610d5ab8ce8eb5c,results/top10_sentiment_zscore/local_long/AAPL/seed_50/last_model_comparison_20260826_105414.csv,results/top10_sentiment_zscore/local_long/AAPL/seed_50/last_baseline_scores_after_observation_20260826_105414.csv,naive_last,True,False,duplicate deterministic baseline; reference strategy selected,config/experiments/top10_sentiment_zscore.json;results/top10_sentiment_zscore/local_long/AAPL/seed_50/preprocessing_config.json
AAPL,50,Drift,local_long,test,0.016432615285101353,0.08249175611295197,0.5,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_local_mae_long_jepa_ljepa_1.0_lmae_0.5_mae_1_gap_4_jepa_4_cfg_d238fd9cb164_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,value,future target values in the configured normalized feature space,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,ab4890fe68133fcfef2c,1fb9865257af5658,1fb9865257af5658,20260826_105414,da8018e2fbce129c594079089610d5ab8ce8eb5c,results/top10_sentiment_zscore/local_long/AAPL/seed_50/last_model_comparison_20260826_105414.csv,results/top10_sentiment_zscore/local_long/AAPL/seed_50/last_baseline_scores_after_observation_20260826_105414.csv,drift,True,False,duplicate deterministic baseline; reference strategy selected,config/experiments/top10_sentiment_zscore.json;results/top10_sentiment_zscore/local_long/AAPL/seed_50/preprocessing_config.json
AAPL,50,Local-MAE/Long-JEPA,local_long,test,0.09004926428890837,0.23973699933604195,0.5131578947368421,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_local_mae_long_jepa_ljepa_1.0_lmae_0.5_mae_1_gap_4_jepa_4_cfg_d238fd9cb164_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,value,future target values in the configured normalized feature space,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,ab4890fe68133fcfef2c,1fb9865257af5658,1fb9865257af5658,20260826_105414,da8018e2fbce129c594079089610d5ab8ce8eb5c,results/top10_sentiment_zscore/local_long/AAPL/seed_50/last_model_comparison_20260826_105414.csv,results/top10_sentiment_zscore/local_long/AAPL/seed_50/last_scores_after_observation_20260826_105414.csv,TS-JEPA,True,True,,config/experiments/top10_sentiment_zscore.json;results/top10_sentiment_zscore/local_long/AAPL/seed_50/preprocessing_config.json
AAPL,50,GRU,local_long,test,0.09205265974577143,0.23691592341975162,0.5263157894736842,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_local_mae_long_jepa_ljepa_1.0_lmae_0.5_mae_1_gap_4_jepa_4_cfg_d238fd9cb164_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,value,future target values in the configured normalized feature space,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,ab4890fe68133fcfef2c,1fb9865257af5658,1fb9865257af5658,20260826_105414,da8018e2fbce129c594079089610d5ab8ce8eb5c,results/top10_sentiment_zscore/local_long/AAPL/seed_50/last_model_comparison_20260826_105414.csv,results/top10_sentiment_zscore/local_long/AAPL/seed_50/last_gru_scores_after_observation_20260826_105414.csv,GRU,True,False,alternate strategy-specific GRU; reference strategy selected,config/experiments/top10_sentiment_zscore.json;results/top10_sentiment_zscore/local_long/AAPL/seed_50/preprocessing_config.json
AAPL,50,Mean-context,local_long,test,0.11103246924423953,0.2851187825202942,0.0,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_local_mae_long_jepa_ljepa_1.0_lmae_0.5_mae_1_gap_4_jepa_4_cfg_d238fd9cb164_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,value,future target values in the configured normalized feature space,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,ab4890fe68133fcfef2c,1fb9865257af5658,1fb9865257af5658,20260826_105414,da8018e2fbce129c594079089610d5ab8ce8eb5c,results/top10_sentiment_zscore/local_long/AAPL/seed_50/last_model_comparison_20260826_105414.csv,results/top10_sentiment_zscore/local_long/AAPL/seed_50/last_baseline_scores_after_observation_20260826_105414.csv,mean_context,True,False,duplicate deterministic baseline; reference strategy selected,config/experiments/top10_sentiment_zscore.json;results/top10_sentiment_zscore/local_long/AAPL/seed_50/preprocessing_config.json
AMZN,42,Naive-last,local_long,test,0.020188341984768807,0.10401587360783628,0.0,5,./logs/output_model/AMZN/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_local_mae_long_jepa_ljepa_1.0_lmae_0.5_mae_1_gap_4_jepa_4_cfg_6ce4bc485ae3_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,value,future target values in the configured normalized feature space,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,a947ef5b23467f1b8aa8,1fb9865257af5658,1fb9865257af5658,20260826_111921,da8018e2fbce129c594079089610d5ab8ce8eb5c,results/top10_sentiment_zscore/local_long/AMZN/seed_42/last_model_comparison_20260826_111921.csv,results/top10_sentiment_zscore/local_long/AMZN/seed_42/last_baseline_scores_after_observation_20260826_111921.csv,naive_last,True,False,duplicate deterministic baseline; reference strategy selected,config/experiments/top10_sentiment_zscore.json;results/top10_sentiment_zscore/local_long/AMZN/seed_42/preprocessing_config.json
AMZN,42,Drift,local_long,test,0.022601255306935138,0.10863841709337736,0.5328947368421053,5,./logs/output_model/AMZN/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_local_mae_long_jepa_ljepa_1.0_lmae_0.5_mae_1_gap_4_jepa_4_cfg_6ce4bc485ae3_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,value,future target values in the configured normalized feature space,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,a947ef5b23467f1b8aa8,1fb9865257af5658,1fb9865257af5658,20260826_111921,da8018e2fbce129c594079089610d5ab8ce8eb5c,results/top10_sentiment_zscore/local_long/AMZN/seed_42/last_model_comparison_20260826_111921.csv,results/top10_sentiment_zscore/local_long/AMZN/seed_42/last_baseline_scores_after_observation_20260826_111921.csv,drift,True,False,duplicate deterministic baseline; reference strategy selected,config/experiments/top10_sentiment_zscore.json;results/top10_sentiment_zscore/local_long/AMZN/seed_42/preprocessing_config.json
AMZN,42,Local-MAE/Long-JEPA,local_long,test,0.03364061087236702,0.14014671727230674,0.46710526315789475,5,./logs/output_model/AMZN/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_local_mae_long_jepa_ljepa_1.0_lmae_0.5_mae_1_gap_4_jepa_4_cfg_6ce4bc485ae3_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,value,future target values in the configured normalized feature space,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,a947ef5b23467f1b8aa8,1fb9865257af5658,1fb9865257af5658,20260826_111921,da8018e2fbce129c594079089610d5ab8ce8eb5c,results/top10_sentiment_zscore/local_long/AMZN/seed_42/last_model_comparison_20260826_111921.csv,results/top10_sentiment_zscore/local_long/AMZN/seed_42/last_scores_after_observation_20260826_111920.csv,TS-JEPA,True,True,,config/experiments/top10_sentiment_zscore.json;results/top10_sentiment_zscore/local_long/AMZN/seed_42/preprocessing_config.json
AMZN,42,GRU,local_long,test,0.0920476037576462,0.2668538495113975,0.4605263157894737,5,./logs/output_model/AMZN/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_local_mae_long_jepa_ljepa_1.0_lmae_0.5_mae_1_gap_4_jepa_4_cfg_6ce4bc485ae3_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,value,future target values in the configured normalized feature space,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,a947ef5b23467f1b8aa8,1fb9865257af5658,1fb9865257af5658,20260826_111921,da8018e2fbce129c594079089610d5ab8ce8eb5c,results/top10_sentiment_zscore/local_long/AMZN/seed_42/last_model_comparison_20260826_111921.csv,results/top10_sentiment_zscore/local_long/AMZN/seed_42/last_gru_scores_after_observation_20260826_111921.csv,GRU,True,False,alternate strategy-specific GRU; reference strategy selected,config/experiments/top10_sentiment_zscore.json;results/top10_sentiment_zscore/local_long/AMZN/seed_42/preprocessing_config.json
AMZN,42,Mean-context,local_long,test,0.10435520882561236,0.2599051324944747,0.0,5,./logs/output_model/AMZN/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_local_mae_long_jepa_ljepa_1.0_lmae_0.5_mae_1_gap_4_jepa_4_cfg_6ce4bc485ae3_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,value,future target values in the configured normalized feature space,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,a947ef5b23467f1b8aa8,1fb9865257af5658,1fb9865257af5658,20260826_111921,da8018e2fbce129c594079089610d5ab8ce8eb5c,results/top10_sentiment_zscore/local_long/AMZN/seed_42/last_model_comparison_20260826_111921.csv,results/top10_sentiment_zscore/local_long/AMZN/seed_42/last_baseline_scores_after_observation_20260826_111921.csv,mean_context,True,False,duplicate deterministic baseline; reference strategy selected,config/experiments/top10_sentiment_zscore.json;results/top10_sentiment_zscore/local_long/AMZN/seed_42/preprocessing_config.json
AMZN,44,Naive-last,local_long,test,0.020188341984768807,0.10401587360783628,0.0,5,./logs/output_model/AMZN/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_local_mae_long_jepa_ljepa_1.0_lmae_0.5_mae_1_gap_4_jepa_4_cfg_4b73a7222917_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,value,future target values in the configured normalized feature space,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,a947ef5b23467f1b8aa8,1fb9865257af5658,1fb9865257af5658,20260826_112331,da8018e2fbce129c594079089610d5ab8ce8eb5c,results/top10_sentiment_zscore/local_long/AMZN/seed_44/last_model_comparison_20260826_112331.csv,results/top10_sentiment_zscore/local_long/AMZN/seed_44/last_baseline_scores_after_observation_20260826_112331.csv,naive_last,True,False,duplicate deterministic baseline; reference strategy selected,config/experiments/top10_sentiment_zscore.json;results/top10_sentiment_zscore/local_long/AMZN/seed_44/preprocessing_config.json
AMZN,44,Drift,local_long,test,0.022601255306935138,0.10863841709337736,0.5328947368421053,5,./logs/output_model/AMZN/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_local_mae_long_jepa_ljepa_1.0_lmae_0.5_mae_1_gap_4_jepa_4_cfg_4b73a7222917_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,value,future target values in the configured normalized feature space,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,a947ef5b23467f1b8aa8,1fb9865257af5658,1fb9865257af5658,20260826_112331,da8018e2fbce129c594079089610d5ab8ce8eb5c,results/top10_sentiment_zscore/local_long/AMZN/seed_44/last_model_comparison_20260826_112331.csv,results/top10_sentiment_zscore/local_long/AMZN/seed_44/last_baseline_scores_after_observation_20260826_112331.csv,drift,True,False,duplicate deterministic baseline; reference strategy selected,config/experiments/top10_sentiment_zscore.json;results/top10_sentiment_zscore/local_long/AMZN/seed_44/preprocessing_config.json
AMZN,44,Local-MAE/Long-JEPA,local_long,test,0.027272682826727356,0.12166053370425578,0.5328947368421053,5,./logs/output_model/AMZN/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_local_mae_long_jepa_ljepa_1.0_lmae_0.5_mae_1_gap_4_jepa_4_cfg_4b73a7222917_epoch_2000.pt,fixed_pretraining_epoch_2000,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,value,future target values in the configured normalized feature space,MSE and MAE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-04-01T00:00:00,2025-12-31T00:00:00,a947ef5b23467f1b8aa8,1fb9865257af5658,1fb9865257af5658,20260826_112331,da8018e2fbce129c594079089610d5ab8ce8eb5c,results/top10_sentiment_zscore/local_long/AMZN/seed_44/last_model_comparison_20260826_112331.csv,results/top10_sentiment_zscore/local_long/AMZN/seed_44/last_scores_after_observation_20260826_112331.csv,TS-JEPA,True,True,,config/experiments/top10_sentiment_zscore.json;results/top10_sentiment_zscore/local_long/AMZN/seed_44/preprocessing_config.json
